university,year,conference,info,bibtex,electronic_edition
SUTD,2021,CVPR,"Yan Bai and Jile Jiao and Ce Wang and Jun Liu and Yihang Lou and Xuetao Feng and Ling{-}Yu DuanPerson30K: {A} Dual-Meta Generalization Network for Person Re-Identification{IEEE} Conference on Computer Vision and Pattern Recognition, {CVPR} 2021, virtual, June 19-25, 2021",https://dblp.org/rec/conf/cvpr/BaiJW0LFD21.bib,https://openaccess.thecvf.com/content/CVPR2021/html/Bai_Person30K_A_Dual-Meta_Generalization_Network_for_Person_Re-Identification_CVPR_2021_paper.html
NUS,2021,CVPR,"Yongxing Dai and Xiaotong Li and Jun Liu and Zekun Tong and Ling{-}Yu DuanGeneralizable Person Re-Identification With Relevance-Aware Mixture of Experts{IEEE} Conference on Computer Vision and Pattern Recognition, {CVPR} 2021, virtual, June 19-25, 2021",https://dblp.org/rec/conf/cvpr/DaiLLTD21.bib,https://openaccess.thecvf.com/content/CVPR2021/html/Dai_Generalizable_Person_Re-Identification_With_Relevance-Aware_Mixture_of_Experts_CVPR_2021_paper.html
NTU,2020,CVPR,"Yunpeng Zhai and Shijian Lu and Qixiang Ye and Xuebo Shan and Jie Chen and Rongrong Ji and Yonghong TianAD-Cluster: Augmented Discriminative Clustering for Domain Adaptive Person Re-Identification2020 {IEEE/CVF} Conference on Computer Vision and Pattern Recognition, {CVPR} 2020, Seattle, WA, USA, June 13-19, 2020",https://dblp.org/rec/conf/cvpr/ZhaiLYSCJ020.bib,https://openaccess.thecvf.com/content_CVPR_2020/html/Zhai_AD-Cluster_Augmented_Discriminative_Clustering_for_Domain_Adaptive_Person_Re-Identification_CVPR_2020_paper.html
NTU,2019,CVPR,"Chiat{-}Pin Tay and Sharmili Roy and Kim{-}Hui YapAANet: Attribute Attention Network for Person Re-Identifications{IEEE} Conference on Computer Vision and Pattern Recognition, {CVPR} 2019, Long Beach, CA, USA, June 16-20, 2019",https://dblp.org/rec/conf/cvpr/TayRY19.bib,http://openaccess.thecvf.com/content_CVPR_2019/html/Tay_AANet_Attribute_Attention_Network_for_Person_Re-Identifications_CVPR_2019_paper.html
SUTD,2018,CVPR,"Weijian Deng and Liang Zheng and Qixiang Ye and Guoliang Kang and Yi Yang and Jianbin JiaoImage-Image Domain Adaptation With Preserved Self-Similarity and Domain-Dissimilarity for Person Re-Identification2018 {IEEE} Conference on Computer Vision and Pattern Recognition, {CVPR} 2018, Salt Lake City, UT, USA, June 18-22, 2018",https://dblp.org/rec/conf/cvpr/Deng0YK0J18.bib,http://openaccess.thecvf.com/content_cvpr_2018/html/Deng_Image-Image_Domain_Adaptation_CVPR_2018_paper.html
SUTD,2018,CVPR,"Yiluan Guo and Ngai{-}Man CheungEfficient and Deep Person Re-Identification Using Multi-Level Similarity2018 {IEEE} Conference on Computer Vision and Pattern Recognition, {CVPR} 2018, Salt Lake City, UT, USA, June 18-22, 2018",https://dblp.org/rec/conf/cvpr/GuoC18.bib,http://openaccess.thecvf.com/content_cvpr_2018/html/Guo_Efficient_and_Deep_CVPR_2018_paper.html
NTU,2018,CVPR,"Jianlou Si and Honggang Zhang and Chun{-}Guang Li and Jason Kuen and Xiangfei Kong and Alex C. Kot and Gang WangDual Attention Matching Network for Context-Aware Feature Sequence Based Person Re-Identification2018 {IEEE} Conference on Computer Vision and Pattern Recognition, {CVPR} 2018, Salt Lake City, UT, USA, June 18-22, 2018",https://dblp.org/rec/conf/cvpr/SiZLKKK018.bib,http://openaccess.thecvf.com/content_cvpr_2018/html/Si_Dual_Attention_Matching_CVPR_2018_paper.html
NTU,2021,AAAI,"Mengxi Jia and Xinhua Cheng and Yunpeng Zhai and Shijian Lu and Siwei Ma and Yonghong Tian and Jian ZhangMatching on Sets: Conquer Occluded Person Re-identification Without AlignmentThirty-Fifth {AAAI} Conference on Artificial Intelligence, {AAAI} 2021, Thirty-Third Conference on Innovative Applications of Artificial Intelligence, {IAAI} 2021, The Eleventh Symposium on Educational Advances in Artificial Intelligence, {EAAI} 2021, Virtual Event, February 2-9, 2021",https://dblp.org/rec/conf/aaai/JiaCZLM0021.bib,https://ojs.aaai.org/index.php/AAAI/article/view/16260
NTU,2020,BMVC,"Yushi Lan and Yuan Liu and Xinchi Zhou and Maoqing Tian and Xuesen Zhang and Shuai Yi and Hongsheng LiMagnifierNet: Towards Semantic Adversary and Fusion for Person Re-identification31st British Machine Vision Conference 2020, {BMVC} 2020, Virtual Event, UK, September 7-10, 2020",https://dblp.org/rec/conf/bmvc/LanLZTZYL20.bib,https://www.bmvc2020-conference.com/assets/papers/0781.pdf
NTU,2018,BMVC,"Shan Lin and Haoliang Li and Chang{-}Tsun Li and Alex C. KotMulti-task Mid-level Feature Alignment Network for Unsupervised Cross-Dataset Person Re-IdentificationBritish Machine Vision Conference 2018, {BMVC} 2018, Newcastle, UK, September 3-6, 2018",https://dblp.org/rec/conf/bmvc/LinLLK18.bib,http://bmvc2018.org/contents/papers/0244.pdf
NTU,2021,IJCAI,"Guoqing Zhang and Yuhao Chen and Weisi Lin and Arun Chandran and Xuan JingLow Resolution Information Also Matters: Learning Multi-Resolution Representations for Person Re-IdentificationProceedings of the Thirtieth International Joint Conference on Artificial Intelligence, {IJCAI} 2021, Virtual Event / Montreal, Canada, 19-27 August 2021",https://dblp.org/rec/conf/ijcai/0002CLCJ21.bib,https://doi.org/10.24963/ijcai.2021/179
NTU,2020,IJCAI,"Mengxi Jia and Yunpeng Zhai and Shijian Lu and Siwei Ma and Jian ZhangA Similarity Inference Metric for RGB-Infrared Cross-Modality Person Re-identificationProceedings of the Twenty-Ninth International Joint Conference on Artificial Intelligence, {IJCAI} 2020",https://dblp.org/rec/conf/ijcai/JiaZLMZ20.bib,https://doi.org/10.24963/ijcai.2020/143
NUS,2019,ICCV,"Lingxiao He and Yinggang Wang and Wu Liu and He Zhao and Zhenan Sun and Jiashi FengForeground-Aware Pyramid Reconstruction for Alignment-Free Occluded Person Re-Identification2019 {IEEE/CVF} International Conference on Computer Vision, {ICCV} 2019, Seoul, Korea (South), October 27 - November 2, 2019",https://dblp.org/rec/conf/iccv/HeWLZSF19.bib,https://doi.org/10.1109/ICCV.2019.00854
NTU,2020,ACMMM,"Weiming Zhuang and Yonggang Wen and Xuesen Zhang and Xin Gan and Daiying Yin and Dongzhan Zhou and Shuai Zhang and Shuai YiPerformance Optimization of Federated Person Re-identification via Benchmark Analysis{MM} '20: The 28th {ACM} International Conference on Multimedia, Virtual Event / Seattle, WA, USA, October 12-16, 2020",https://dblp.org/rec/conf/mm/Zhuang0ZGYZZY20.bib,https://doi.org/10.1145/3394171.3413814
